family,task,n,parse_fails,MAE,W,accuracy,win_rate
game_behavior,game_behavior_bomb,100,0,,14.915,,
game_behavior,game_behavior_dictator,100,0,,25.615,,
game_behavior,game_behavior_guessing,100,0,,34.175000000000004,,
game_behavior,game_behavior_public_goods,100,0,,24.249999999999996,,
game_behavior,game_behavior_push_pull,100,0,,51.0,,
game_behavior,game_behavior_trust_banker,100,0,,22.900000000000006,,
game_behavior,game_behavior_trust_investor,100,0,,57.815,,
game_behavior,game_behavior_ultimatum_proposer,100,0,,13.39,,
game_behavior,game_behavior_ultimatum_responder,100,0,,18.76,,
acrossgame_behavior,acrossgame_behavior_bomb,25,0,25.12,15.119999999999997,,
acrossgame_behavior,acrossgame_behavior_dictator,25,0,28.16,26.56,,
acrossgame_behavior,acrossgame_behavior_guessing,25,0,23.08,14.2,,
acrossgame_behavior,acrossgame_behavior_public_goods,25,0,7.12,8.0,,
acrossgame_behavior,acrossgame_behavior_push_pull,25,0,0.44,43.99999999999999,,
acrossgame_behavior,acrossgame_behavior_trust_banker,25,0,25.44,16.373333333333335,,
acrossgame_behavior,acrossgame_behavior_trust_investor,25,0,42.92,26.92,,
acrossgame_behavior,acrossgame_behavior_ultimatum_proposer,25,0,18.04,12.12,,
acrossgame_behavior,acrossgame_behavior_ultimatum_responder,25,0,22.2,16.279999999999998,,
multiround_behavior,multiround_behavior_bomb,25,0,21.52,11.6,,
multiround_behavior,multiround_behavior_dictator,25,0,7.44,6.4,,
multiround_behavior,multiround_behavior_guessing,25,0,13.68,10.559999999999997,,
multiround_behavior,multiround_behavior_public_goods,25,0,3.52,5.6000000000000005,,
multiround_behavior,multiround_behavior_push_pull,25,0,0.24,7.9999999999999964,,
multiround_behavior,multiround_behavior_trust_banker_inv100,25,0,27.88,5.7200000000000015,,
multiround_behavior,multiround_behavior_trust_banker_inv50,25,0,30.16,16.85333333333333,,
multiround_behavior,multiround_behavior_trust_investor,25,0,23.56,4.280000000000001,,
big_five,acrossdim_pers_score,25,0,8.487619047619047,5.139047619047619,,
big_five,demo_pred_age,25,0,13.08,6.6,,
big_five,missing_surv_resp,25,0,0.8333333333333334,0.8333333333333334,,
big_five,pers_score_pred,25,0,8.254761904761905,7.673809523809524,,
big_five,seq_surv_resp,25,0,0.9166666666666666,0.9166666666666666,,
big_five,surv_resp_pred,25,0,0.8245614035087719,0.7894736842105263,,
strategic_gameplay,strategic_gameplay_guessing,25,0,12.36,11.400000000000002,,0.2
economics,ieo_economics,25,0,,,0.76,
workflow,workflow_idea_generation,25,0,,,,
workflow,workflow_method_recommendation,25,0,,,,
workflow,workflow_outcome_prediction,25,0,,,,
workflow,workflow_title_prediction,25,0,,,,
workflow,workflow_impact_prediction,25,0,,,,
